Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Burkina Faso;74,3;2019;BFA;12,4;80;20321400;5,2;Africa;30/11/2020;2886;68;2,409;134,251;3,163;22,22;14229000;-1,638040888;0,700197821;0,309749;143
Burundi;449;2019;BDI;7,6;83,3;11530600;5;Africa;30/11/2020;688;1;2,562;56,138;0,082;14,81;9989400;-3,793663549;0,866338265;0,045719646;0
Central African Republic;7,6;2019;CAF;0,9;94,2;4745200;6,9;Africa;30/11/2020;4913;63;3,655;998,58;12,805;20,37;2763100;-4,166933804;0,582293686;0;0
Côte d'Ivoire;80,9;2019;CIV;28,6;83,9;25716600;10,2;Africa;30/11/2020;21331;132;2,933;788,471;4,879;25;12539600;-1,603054752;0,487607226;0,314034243;2070
Equatorial Guinea;48,3;2019;GNQ;15,8;67,6;1356000;8,7;Africa;30/11/2020;5153;85;2,846;3554,06;58,625;;371200;-3,704955042;0,273746313;0,056585021;0
Eswatini;66,8;2019;SWZ;133,9;65,6;1148100;14,1;Africa;30/11/2020;6419;122;3,163;5475,239;104,063;38,89;872800;-1,93065544;0,760212525;0,27390839;1226
Ethiopia;99,2;2019;ETH;5,4;90,4;112078700;4,1;Africa;30/11/2020;110074;1706;3,526;933,81;14,473;51,85;88290000;-2,226373765;0,787750036;0,237687617;812
Ghana;133,7;2019;GHA;20,9;82;30417900;10,6;Africa;30/11/2020;51667;323;3,385;1628,224;10,179;38,89;13168800;-0,26793822;0,432929295;0,477564699;0
Israel;418,4;2019;ISR;1729,9;52,4;9054000;27,6;Asia;30/11/2020;337191;2872;11,733;38361,728;326,743;65,74;679000;1,522689496;0,074994478;0,696888001;4905
Jordan;113,4;2019;JOR;125,1;73,4;10069800;35,6;Asia;30/11/2020;219430;2751;3,81;21368,15;267,893;81,48;885800;-0,538874633;0,087965997;0,444379315;5361
Kenya;92,4;2019;KEN;10,4;77,8;52574000;6,7;Africa;30/11/2020;83618;1469;2,686;1520,723;26,716;51,85;38101600;-1,686612121;0,724723247;0,3037998;2049
